Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. lanatus	SRR3535166	passes the trimming step	not used for transcript reconstruction	12282787	71.3596%	U
C. lanatus	SRR3535167	passes the trimming step	not used for transcript reconstruction	12667572	69.428%	U
C. lanatus	SRR3535170	passes the trimming step	not used for transcript reconstruction	13475206	70.8056%	U
C. lanatus	SRR357407	doesn't pass the trimming step	NA	0	NA	NA
C. lanatus	SRR357408	doesn't pass the trimming step	NA	0	NA	NA
C. lanatus	SRR357409	doesn't pass the trimming step	NA	0	NA	NA
C. lanatus	SRR3706796	passes the trimming step	not used for transcript reconstruction	20174054/20174054	63.2286%	IU
C. lanatus	SRR3707378	passes the trimming step	not used for transcript reconstruction	17896163/17896163	62.9443%	IU
C. lanatus	SRR3707379	passes the trimming step	not used for transcript reconstruction	19739020/19739020	59.4499%	IU
C. lanatus	SRR3707383	passes the trimming step	not used for transcript reconstruction	18257022/18257022	60.2065%	IU
C. lanatus	SRR3707384	passes the trimming step	not used for transcript reconstruction	21128669/21128669	61.3075%	IU
C. lanatus	SRR3707410	passes the trimming step	not used for transcript reconstruction	20074120/20074120	61.4401%	IU
C. lanatus	SRR3822369	passes the trimming step	not used for transcript reconstruction	17947340/17947340	65.9682%	IU
C. lanatus	SRR3822370	passes the trimming step	not used for transcript reconstruction	16674105/16674105	63.2859%	IU
C. lanatus	SRR3822371	passes the trimming step	not used for transcript reconstruction	16672070/16672070	62.9667%	IU
C. lanatus	SRR3822372	passes the trimming step	not used for transcript reconstruction	16108225/16108225	66.4167%	IU
C. lanatus	SRR3822373	passes the trimming step	not used for transcript reconstruction	16194164/16194164	69.7172%	IU
C. lanatus	SRR3822374	passes the trimming step	not used for transcript reconstruction	16073473/16073473	61.5138%	IU
C. lanatus	SRR3822375	passes the trimming step	not used for transcript reconstruction	14703347/14703347	66.4432%	IU
C. lanatus	SRR3822376	passes the trimming step	not used for transcript reconstruction	13839843/13839843	68.3938%	IU
C. lanatus	SRR4046301	passes the trimming step	not used for transcript reconstruction	18969990/18969990	64.6691%	IU
C. lanatus	SRR4046302	passes the trimming step	not used for transcript reconstruction	18605768/18605768	63.9748%	IU
C. lanatus	SRR4046311	passes the trimming step	not used for transcript reconstruction	15775189/15775189	63.4028%	IU
C. lanatus	SRR4046313	passes the trimming step	not used for transcript reconstruction	17283287/17283287	58.7166%	IU
C. lanatus	SRR4046317	passes the trimming step	not used for transcript reconstruction	14297667/14297667	63.3386%	IU
C. lanatus	SRR4046325	passes the trimming step	not used for transcript reconstruction	23327559/23327559	62.5861%	IU
C. lanatus	SRR4046339	passes the trimming step	not used for transcript reconstruction	17663518/17663518	62.904%	IU
C. lanatus	SRR4046345	passes the trimming step	not used for transcript reconstruction	17813890/17813890	64.1551%	IU
C. lanatus	SRR4046372	passes the trimming step	not used for transcript reconstruction	20611172/20611172	57.8583%	IU
C. lanatus	SRR4046392	passes the trimming step	not used for transcript reconstruction	18958948/18958948	63.9975%	IU
C. lanatus	SRR4046409	passes the trimming step	not used for transcript reconstruction	17198868/17198868	63.5062%	IU
C. lanatus	SRR4046416	passes the trimming step	not used for transcript reconstruction	16233461/16233461	63.4767%	IU
C. lanatus	SRR4046425	passes the trimming step	not used for transcript reconstruction	16758832/16758832	63.6561%	IU
C. lanatus	SRR4046438	passes the trimming step	not used for transcript reconstruction	15319712/15319712	62.3421%	IU
C. lanatus	SRR4046441	passes the trimming step	not used for transcript reconstruction	26520245/26520245	62.4339%	IU
C. lanatus	SRR4046451	passes the trimming step	not used for transcript reconstruction	17375377/17375377	64.1959%	IU
C. lanatus	SRR4046458	passes the trimming step	not used for transcript reconstruction	16485653/16485653	47.2506%	IU
C. lanatus	SRR4046464	passes the trimming step	not used for transcript reconstruction	18955500/18955500	62.6543%	IU
C. lanatus	SRR4046466	passes the trimming step	not used for transcript reconstruction	19748578/19748578	61.044%	IU
C. lanatus	SRR4046482	passes the trimming step	not used for transcript reconstruction	19072066/19072066	62.818%	IU
